iter	Logloss
0	0.6759577063
1	0.6560874008
2	0.6354461488
3	0.6191281373
4	0.607130264
5	0.5935390737
6	0.5785271987
7	0.5607519588
8	0.547597715
9	0.5315985218
10	0.5226082588
11	0.5100759248
12	0.498463271
13	0.4896088072
14	0.4795806746
15	0.4693134487
16	0.4574612707
17	0.4506218075
18	0.442236972
19	0.4325830206
20	0.4276723969
21	0.415111669
22	0.4104076115
23	0.4018450835
24	0.3964159683
25	0.3874045918
26	0.3806397091
27	0.3737703736
28	0.3683295437
29	0.3615385615
30	0.3554457855
31	0.3513193566
32	0.3465674593
33	0.3415182802
34	0.3371687485
35	0.3307324815
36	0.3240293412
37	0.3215136059
38	0.3170561014
39	0.3136223213
40	0.3089362745
41	0.3051965056
42	0.3008159466
43	0.2959917107
44	0.2941734315
45	0.2906810688
46	0.2882894331
47	0.2865297848
48	0.2843924908
49	0.280982647
50	0.2775508802
51	0.2730198436
52	0.2697688763
53	0.268041154
54	0.2659915371
55	0.2636425482
56	0.2612232526
57	0.259638351
58	0.2576158837
59	0.2542990888
60	0.2528905078
61	0.2491512379
62	0.2472157894
63	0.2444087374
64	0.2424824439
65	0.2407390964
66	0.2389034127
67	0.2376844267
68	0.2354758482
69	0.2338121058
70	0.2319314788
71	0.2307961724
72	0.229537558
73	0.2269979863
74	0.224086365
75	0.2224774066
76	0.2207965034
77	0.2183503649
78	0.2161724742
79	0.2149760281
80	0.2121963059
81	0.2092247398
82	0.2063864898
83	0.2045116853
84	0.2021501948
85	0.1996818125
86	0.1972735812
87	0.1956470294
88	0.193069083
89	0.1914062888
90	0.1896952859
91	0.1880332834
92	0.18788153
93	0.1858092279
94	0.1847083341
95	0.1821217564
96	0.1817393129
97	0.1793110063
98	0.1773043308
99	0.1761769364
100	0.1746343562
101	0.1735640604
102	0.1726173189
103	0.1703151813
104	0.1691622064
105	0.1681763938
106	0.1679158278
107	0.166299023
108	0.1649159675
109	0.1637453042
110	0.1623998613
111	0.1609890983
112	0.1603463741
113	0.1587630792
114	0.1579430264
115	0.156906878
116	0.1558050627
117	0.1545299586
118	0.1535544275
119	0.1521070124
120	0.1505653497
121	0.1492125466
122	0.147888647
123	0.1465954205
124	0.1454328875
125	0.1442097158
126	0.1430413696
127	0.1415596772
128	0.1405904695
129	0.1398248873
130	0.1394862754
131	0.1389421988
132	0.1378074148
133	0.137194379
134	0.1356241931
135	0.1340732909
136	0.1336424726
137	0.1322041
138	0.1313113711
139	0.1308769416
140	0.1297485212
141	0.1289060049
142	0.1274009675
143	0.1264947961
144	0.1251921627
145	0.1239200442
146	0.1233575371
147	0.1221828206
148	0.120858909
149	0.1197463555
150	0.1188364016
151	0.1180406179
152	0.117551162
153	0.1169133736
154	0.1157288953
155	0.1150998694
156	0.1141811743
157	0.1131818268
158	0.113045821
159	0.1122251615
160	0.1108199599
161	0.1093967899
162	0.1086798317
163	0.1075344541
164	0.106337763
165	0.1054938657
166	0.1050403373
167	0.1040224132
168	0.1038943596
169	0.1030478089
170	0.1022676109
171	0.1016825585
172	0.1012600312
173	0.1005912644
174	0.09986681215
175	0.09935246961
176	0.0982786926
177	0.09764708696
178	0.09683659237
179	0.09599781706
180	0.09520673752
181	0.09408250418
182	0.09390536855
183	0.09371133467
184	0.09356339594
185	0.09319946069
186	0.0926076964
187	0.0920753988
188	0.0915994095
189	0.09067214473
190	0.09050637685
191	0.08980309963
192	0.08946955204
193	0.08846480927
194	0.08800049444
195	0.08718793446
196	0.08661782875
197	0.08592970184
198	0.08517215091
199	0.08434708199
200	0.08385728316
201	0.08295165555
202	0.08242949743
203	0.08183052835
204	0.08123950208
205	0.08114520352
206	0.08062711325
207	0.0799340157
208	0.07978566711
209	0.07902545875
210	0.07806783312
211	0.07714362895
212	0.07676397013
213	0.07611577029
214	0.07550531023
215	0.07510161534
216	0.07452450174
217	0.07429949755
218	0.07363297832
219	0.07303742612
220	0.07242569763
221	0.07179349326
222	0.07172139575
223	0.07107330306
224	0.07051453831
225	0.06982345126
226	0.06919284215
227	0.06898183635
228	0.06862017814
229	0.06795463803
230	0.06728456128
231	0.06690065512
232	0.06646644132
233	0.06591650877
234	0.06532161959
235	0.06506777479
236	0.0648310881
237	0.06443616915
238	0.06400228216
239	0.06379379315
240	0.06333540799
241	0.06279006433
242	0.06232572941
243	0.0618263242
244	0.06124590622
245	0.06055982863
246	0.06024391999
247	0.05976069509
248	0.0592697323
249	0.05887341633
250	0.05846712696
251	0.05797683523
252	0.05754385503
253	0.05714291803
254	0.05670637227
255	0.05620692419
256	0.05593188961
257	0.05549594927
258	0.05531265227
259	0.05476620492
260	0.05434551936
261	0.05385534683
262	0.0534688971
263	0.05311998491
264	0.05272134368
265	0.05232830932
266	0.05204636327
267	0.05169851726
268	0.05135722643
269	0.0511746795
270	0.05087510923
271	0.050638231
272	0.05049417528
273	0.05028618855
274	0.05009646362
275	0.04973641004
276	0.04947996943
277	0.04912837436
278	0.04876936821
279	0.04868991321
280	0.04840129949
281	0.04815788617
282	0.0481236423
283	0.047855846
284	0.04752634482
285	0.04721156265
286	0.04715084092
287	0.04684878601
288	0.04650323712
289	0.04621261827
290	0.04590807202
291	0.04572877991
292	0.04546551356
293	0.04515726379
294	0.04486414824
295	0.04464301233
296	0.04436420457
297	0.04420909319
298	0.04392930229
299	0.04358043697
300	0.04335606768
301	0.0430223473
302	0.04287579354
303	0.04266238213
304	0.04228591651
305	0.04196469436
306	0.04165151682
307	0.04152570682
308	0.04132265991
309	0.04110804301
310	0.04080013747
311	0.04076924753
312	0.04050858905
313	0.04039659661
314	0.04012223576
315	0.03990357378
316	0.0397770512
