column,reason
sleep_light_std,not_in_fixed_domain_features
sleep_midpoint_at_delta_std,not_in_fixed_domain_features
sleep_midpoint_time_std,not_in_fixed_domain_features
sleep_onset_latency_std,not_in_fixed_domain_features
sleep_period_id_std,not_in_fixed_domain_features
sleep_rem_std,not_in_fixed_domain_features
sleep_rmssd_std,not_in_fixed_domain_features
sleep_score_std,not_in_fixed_domain_features
sleep_score_alignment_std,not_in_fixed_domain_features
sleep_score_deep_std,not_in_fixed_domain_features
sleep_score_disturbances_std,not_in_fixed_domain_features
sleep_score_efficiency_std,not_in_fixed_domain_features
sleep_score_latency_std,not_in_fixed_domain_features
sleep_score_rem_std,not_in_fixed_domain_features
sleep_score_total_std,not_in_fixed_domain_features
sleep_temperature_delta_std,not_in_fixed_domain_features
sleep_temperature_deviation_std,not_in_fixed_domain_features
sleep_total_std,not_in_fixed_domain_features
sleep_start_hour_std,not_in_fixed_domain_features
sleep_end_hour_std,not_in_fixed_domain_features
sleep_time_calculated_std,not_in_fixed_domain_features
activity_class_0_count_std,not_in_fixed_domain_features
activity_class_0_ratio_std,not_in_fixed_domain_features
activity_class_1_count_std,not_in_fixed_domain_features
activity_class_1_ratio_std,not_in_fixed_domain_features
activity_class_2_count_std,not_in_fixed_domain_features
activity_class_2_ratio_std,not_in_fixed_domain_features
activity_class_3_ratio_std,not_in_fixed_domain_features
activity_class_4_count_std,not_in_fixed_domain_features
activity_class_4_ratio_std,not_in_fixed_domain_features
activity_class_5_count_std,not_in_fixed_domain_features
activity_class_5_ratio_std,not_in_fixed_domain_features
activity_rest_ratio_std,not_in_fixed_domain_features
activity_inactive_ratio_std,not_in_fixed_domain_features
activity_active_ratio_std,not_in_fixed_domain_features
activity_not_worn_ratio_std,not_in_fixed_domain_features
activity_class_valid_count_std,not_in_fixed_domain_features
activity_met_1min_mean_std,not_in_fixed_domain_features
activity_met_1min_std_std,not_in_fixed_domain_features
activity_met_1min_var_std,not_in_fixed_domain_features
activity_met_1min_min_std,not_in_fixed_domain_features
activity_met_1min_max_std,not_in_fixed_domain_features
activity_met_1min_median_std,not_in_fixed_domain_features
activity_met_1min_q25_std,not_in_fixed_domain_features
activity_met_1min_q75_std,not_in_fixed_domain_features
activity_met_1min_iqr_std,not_in_fixed_domain_features
sleep_hr_5min_mean_std,not_in_fixed_domain_features
sleep_hr_5min_std_std,not_in_fixed_domain_features
sleep_hr_5min_var_std,not_in_fixed_domain_features
sleep_hr_5min_min_std,not_in_fixed_domain_features
sleep_hr_5min_median_std,not_in_fixed_domain_features
sleep_hr_5min_q25_std,not_in_fixed_domain_features
sleep_hr_5min_q75_std,not_in_fixed_domain_features
sleep_hr_5min_iqr_std,not_in_fixed_domain_features
sleep_hr_5min_valid_count_std,not_in_fixed_domain_features
sleep_rmssd_5min_mean_std,not_in_fixed_domain_features
sleep_rmssd_5min_std_std,not_in_fixed_domain_features
sleep_rmssd_5min_var_std,not_in_fixed_domain_features
sleep_rmssd_5min_min_std,not_in_fixed_domain_features
sleep_rmssd_5min_max_std,not_in_fixed_domain_features
sleep_rmssd_5min_median_std,not_in_fixed_domain_features
sleep_rmssd_5min_q25_std,not_in_fixed_domain_features
sleep_rmssd_5min_q75_std,not_in_fixed_domain_features
sleep_rmssd_5min_iqr_std,not_in_fixed_domain_features
sleep_rmssd_5min_valid_count_std,not_in_fixed_domain_features
sleep_deep_count_5min_std,not_in_fixed_domain_features
sleep_deep_ratio_5min_std,not_in_fixed_domain_features
sleep_light_count_5min_std,not_in_fixed_domain_features
sleep_light_ratio_5min_std,not_in_fixed_domain_features
sleep_rem_count_5min_std,not_in_fixed_domain_features
sleep_rem_ratio_5min_std,not_in_fixed_domain_features
sleep_awake_count_5min_std,not_in_fixed_domain_features
sleep_awake_ratio_5min_std,not_in_fixed_domain_features
sleep_stage_transition_count_std,not_in_fixed_domain_features
sleep_hypnogram_valid_count_std,not_in_fixed_domain_features
DIAG_NM,diagnostic_information
original_label,target_or_label
label,target_or_label
circadian_L5,not_in_fixed_domain_features
circadian_M10,not_in_fixed_domain_features
cosinor_mesor,not_in_fixed_domain_features
cosinor_amplitude,not_in_fixed_domain_features
cosinor_acrophase,not_in_fixed_domain_features
sleep_trans_1_1,not_in_fixed_domain_features
sleep_trans_1_2,not_in_fixed_domain_features
sleep_trans_1_3,not_in_fixed_domain_features
sleep_trans_1_4,not_in_fixed_domain_features
sleep_trans_2_1,not_in_fixed_domain_features
sleep_trans_2_2,not_in_fixed_domain_features
sleep_trans_2_3,not_in_fixed_domain_features
sleep_trans_2_4,not_in_fixed_domain_features
sleep_trans_3_1,not_in_fixed_domain_features
sleep_trans_3_2,not_in_fixed_domain_features
sleep_trans_3_3,not_in_fixed_domain_features
sleep_trans_3_4,not_in_fixed_domain_features
sleep_trans_4_1,not_in_fixed_domain_features
sleep_trans_4_2,not_in_fixed_domain_features
sleep_trans_4_3,not_in_fixed_domain_features
sleep_trans_4_4,not_in_fixed_domain_features
sleep_hr_mean_raw,not_in_fixed_domain_features
sleep_hr_std_raw,not_in_fixed_domain_features
