fold,n_subjects,accuracy,macro_f1,balanced_accuracy,macro_ovr_auc,recall_CN,recall_MCI,recall_Dementia
1,35,0.5714285714285714,0.3827751196172249,0.3636363636363636,0.6586052836052836,0.7272727272727273,0.36363636363636365,0.0
2,35,0.5428571428571428,0.4762393162393162,0.5405797101449276,0.6874571805006587,0.5217391304347826,0.6,0.5
3,35,0.6,0.611111111111111,0.6373737373737374,0.7298789821289821,0.5454545454545454,0.7,0.6666666666666666
4,35,0.5714285714285714,0.5503875968992248,0.6454545454545454,0.8124531857031857,0.6363636363636364,0.3,1.0
5,34,0.7941176470588235,0.6997046880767811,0.706060606060606,0.8434343434343434,0.8181818181818182,0.8,0.5
