,precision,recall,f1-score,support
CN,0.7659574468085106,0.6486486486486487,0.7024390243902439,111.0
MCI,0.4666666666666667,0.5490196078431373,0.5045045045045045,51.0
Dementia,0.35,0.5833333333333334,0.4375,12.0
accuracy,0.6149425287356322,0.6149425287356322,0.6149425287356322,0.6149425287356322
macro avg,0.5275413711583924,0.5936671966083731,0.5481478429649161,174.0
weighted avg,0.6495475666422108,0.6149425287356322,0.6261520772244069,174.0
