iter	Logloss
0	0.6122719986
1	0.5560840806
2	0.4943135702
3	0.438568518
4	0.4068546548
5	0.37047813
6	0.3417629994
7	0.2984708099
8	0.2791135651
9	0.2555096761
10	0.2367959582
11	0.217731376
12	0.2020785915
13	0.1842301088
14	0.1753244787
15	0.1615534395
16	0.1501172936
17	0.1412886657
18	0.1314587893
19	0.126509758
20	0.1201914602
21	0.1136706035
22	0.1079591552
23	0.1032589764
24	0.09824404986
25	0.09408271027
26	0.08926045405
27	0.08489036402
28	0.08061568605
29	0.07708622643
30	0.07261312757
31	0.06959368815
32	0.0665343081
33	0.06306836449
34	0.06042277023
35	0.05756409459
