repeat,outer_fold,n_train,n_valid,accuracy,balanced_accuracy,macro_f1,roc_auc_ovr_macro,log_loss
0,0,94,47,0.5319148936170213,0.5138888888888888,0.4682539682539682,0.6034321507581271,1.301649622003955
0,1,94,47,0.5531914893617021,0.435515873015873,0.4245933278191343,0.7382668854443049,1.1384537645022625
0,2,94,47,0.7021276595744681,0.5647509578544061,0.5682539682539682,0.7740900383141763,0.7660840946736505
1,0,94,47,0.5319148936170213,0.4236111111111111,0.43247863247863244,0.647886364248843,1.1155968707909076
1,1,94,47,0.44680851063829785,0.41170634920634924,0.3954517704517704,0.6649074727385423,1.1375913059039835
1,2,94,47,0.5957446808510638,0.464367816091954,0.5088183421516755,0.6941534598862185,1.3978905073167807
