iter	Passed	Remaining
0	25	212591
1	48	198457
2	70	193047
3	92	188480
4	113	186539
5	134	183175
6	152	178024
7	166	170837
8	180	163726
9	193	157972
10	206	153577
11	221	150742
12	234	147243
13	247	144622
14	262	143188
15	277	141682
16	292	140708
17	307	139547
18	322	138749
19	338	138265
20	355	138158
21	371	137899
22	388	138130
23	406	138284
24	421	137735
25	436	137199
26	452	136982
27	469	136816
28	486	136989
29	505	137476
30	522	137650
31	538	137421
32	555	137310
33	572	137293
34	589	137488
35	607	137531
36	625	137909
37	645	138547
