iter	Logloss
0	0.6319558068
1	0.5879906495
2	0.5377278615
3	0.4906740022
4	0.4640776044
5	0.4329951773
6	0.4068638715
7	0.3648185778
8	0.3444140614
9	0.3211353969
10	0.2990774293
11	0.282673147
12	0.2663514149
13	0.2473774367
14	0.2347397273
15	0.2191650828
16	0.2063781804
17	0.1965127109
18	0.1856489963
19	0.1797326135
20	0.1722815628
21	0.1663508093
22	0.1587055726
23	0.1522150544
24	0.1453707701
25	0.1392277028
26	0.1327312278
27	0.127566307
28	0.1233327134
29	0.1175564128
30	0.1125770381
31	0.1086956049
32	0.1046597484
33	0.09974030932
34	0.09573993516
35	0.09251480354
36	0.08918662723
37	0.0865364819
38	0.08412624738
39	0.08077575406
40	0.07743118933
41	0.07509547702
42	0.07215697781
43	0.06883100936
44	0.06535547817
