feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__l5__theil_sen_rank_slope,activity:change,MCI_vs_CN,47,85,0.0020000008742014908,0.0034999966621401257,-0.04981226533166458,-0.04156072101169524,0.5249061326658323,0.0,0.04981226533166458
activity__event7__activity__circadian__l5__theil_sen_rank_slope,activity:change,DEM_vs_CN,9,85,-4.7683716974944446e-09,0.0034999966621401257,-0.11633986928104575,-0.08508916881177861,0.5581699346405229,0.0,0.11633986928104575
activity__event7__activity__circadian__l5__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.0015000005563103325,0.0034999966621401257,-0.06050420168067227,-0.05417596299901887,0.5302521008403361,0.0,0.06050420168067227
activity__event7__activity__circadian__l5__late_half_minus_early_half,activity:change,MCI_vs_CN,47,85,0.0018333361546198912,0.0011666657527287239,0.07734668335419274,0.03299161912153116,0.5386733416770964,0.0,0.07734668335419274
activity__event7__activity__circadian__l5__late_half_minus_early_half,activity:change,DEM_vs_CN,9,85,0.004999999999999893,0.0011666657527287239,0.05620915032679739,0.22847686606021989,0.5281045751633987,0.0,0.05620915032679739
activity__event7__activity__circadian__l5__late_half_minus_early_half,activity:change,IMPAIRED_vs_CN,56,85,0.002583334942658777,0.0011666657527287239,0.07394957983193277,0.07130578259364777,0.5369747899159664,0.0,0.07394957983193277
activity__event7__activity__circadian__m10__median,activity:level,MCI_vs_CN,47,85,1.7908333295583723,1.7833333257834116,-0.0017521902377972466,0.0214722534417762,0.5008760951188986,0.0,0.0017521902377972466
activity__event7__activity__circadian__m10__median,activity:level,DEM_vs_CN,9,85,1.5599545394175636,1.7833333257834116,-0.36470588235294116,-0.5427869271554308,0.6823529411764706,0.0,0.36470588235294116
activity__event7__activity__circadian__m10__median,activity:level,IMPAIRED_vs_CN,56,85,1.743270837093393,1.7833333257834116,-0.06008403361344538,-0.11552708660355739,0.5300420168067227,0.0,0.06008403361344538
activity__event7__activity__circadian__m10__trimmed_mean_10,activity:level,MCI_vs_CN,47,85,1.8285555575415493,1.7947638905601992,-0.01576971214017522,0.10718687345566201,0.5078848560700876,0.0,0.01576971214017522
activity__event7__activity__circadian__m10__trimmed_mean_10,activity:level,DEM_vs_CN,9,85,1.6210173120338065,1.7947638905601992,-0.4143790849673203,-0.4393871036523353,0.7071895424836601,0.0,0.4143790849673203
activity__event7__activity__circadian__m10__trimmed_mean_10,activity:level,IMPAIRED_vs_CN,56,85,1.7990919009053576,1.7947638905601992,-0.07983193277310924,0.012783693471418604,0.5399159663865547,0.0,0.07983193277310924
