feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta,bootstrap_delta_ci_low,bootstrap_delta_ci_high,bootstrap_sign_consistency
sleep__event7__sleep__clock__bedtime_sin__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.43341809981558355,-0.3248015564813415,-0.23319327731092437,-0.2832045184828682,0.6165966386554622,0.0,0.23319327731092437,-0.3928991596638655,-0.035871848739495844,0.99
sleep__event28__sleep__clock__bedtime_cos__mad,sleep:variability,IMPAIRED_vs_CN,56,85,0.08551609674033137,0.05351347416636648,0.23319327731092437,0.4160121821767458,0.6165966386554622,0.0,0.23319327731092437,0.04127100840336135,0.4207142857142856,0.992
sleep__event28__sleep__duration__deep_ratio__p10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.08144928338806279,0.1004511366299508,-0.23319327731092437,-0.24342302556661044,0.6165966386554622,0.0,0.23319327731092437,-0.41505252100840334,-0.011743697478991616,0.978
sleep__event28__sleep__raw__sleep_duration__p90,sleep:level,IMPAIRED_vs_CN,56,85,37224.0,34848.0,0.23277310924369748,0.38076923076923075,0.6163865546218488,0.0,0.23277310924369748,0.04977415966386555,0.4053623949579832,0.996
sleep__event14__sleep__clock__bedtime_cos__p10,sleep:circadian,IMPAIRED_vs_CN,56,85,0.6126187706253798,0.7407749636665395,-0.2323529411764706,-0.3810957814470144,0.6161764705882353,0.0,0.2323529411764706,-0.40508403361344536,-0.04147058823529423,0.992
sleep__event14__sleep__clock__bedtime_cos__iqr,sleep:variability,IMPAIRED_vs_CN,56,85,0.15185176302825565,0.10280600420184027,0.2319327731092437,0.306736220799047,0.6159663865546219,0.0,0.2319327731092437,0.05505252100840337,0.40488445378151255,0.988
sleep__event28__sleep__raw__sleep_deep__p10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,2394.0,3441.0,-0.23172268907563026,-0.430067775723968,0.6158613445378152,0.0,0.23172268907563026,-0.41672268907563026,-0.01908613445378154,0.98
sleep__event28__sleep__raw__sleep_score_deep__p10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,54.349999999999994,73.5,-0.23172268907563026,-0.3489749430523919,0.6158613445378152,0.0,0.23172268907563026,-0.41503676470588236,-0.027752100840336306,0.996
sleep__event7__sleep__hr__lowest_relative_position__p90,sleep:cardiac,IMPAIRED_vs_CN,56,85,0.8556546966231107,0.8000842105263157,0.23151260504201682,0.3515851648728504,0.6157563025210084,0.0,0.23151260504201682,0.04157563025210084,0.41476890756302515,0.99
sleep__event28__sleep__raw__sleep_score_alignment__trimmed_mean_10,sleep:level,IMPAIRED_vs_CN,56,85,97.70833333333334,93.70833333333333,0.23109243697478993,0.42785515320334433,0.615546218487395,0.0,0.23109243697478993,0.03670168067226891,0.4061081932773108,0.99
sleep__event28__sleep__raw__sleep_score_deep__iqr,sleep:variability,IMPAIRED_vs_CN,56,85,18.75,4.0,0.23046218487394957,0.5339366515837104,0.6152310924369748,0.0,0.23046218487394957,0.03938025210084034,0.41030462184873945,0.99
