iter	Logloss
0	0.6854292296
1	0.6740960603
2	0.6624217363
3	0.6549216359
4	0.6493099128
5	0.6412224486
6	0.6327242223
7	0.6262068071
8	0.6187121106
9	0.6106183979
10	0.6008528527
11	0.5934505135
12	0.5851986911
13	0.579698539
14	0.5720077008
15	0.562556359
16	0.5560639686
17	0.5507865358
18	0.5428432417
19	0.5369343843
20	0.5332268344
21	0.5265227553
22	0.5199283892
23	0.514984609
24	0.5111455011
25	0.5052387644
26	0.4980816051
27	0.490513597
28	0.4857419291
29	0.4795469418
30	0.4741168151
31	0.4685762721
32	0.4644792609
33	0.4588125971
34	0.45401068
35	0.4494626567
36	0.4440164635
37	0.4396215372
38	0.434536249
39	0.4309179087
40	0.4263978046
41	0.4183811729
42	0.4149082519
43	0.410409088
44	0.4058602483
45	0.4019646817
46	0.3991590159
47	0.3953138813
48	0.3896270834
49	0.3860634042
50	0.3822052517
51	0.3788069427
52	0.3759693701
53	0.3733852827
54	0.369392568
55	0.3656807705
56	0.3625630446
57	0.3601175714
58	0.3561087243
59	0.3534621353
60	0.3501686076
61	0.3478013408
62	0.3449172592
63	0.3411679969
64	0.3375543861
65	0.3352586282
66	0.3329111105
67	0.3305754105
68	0.327025202
69	0.3229323062
70	0.3203749631
71	0.3177638196
72	0.3146917329
73	0.3121663354
74	0.3103132361
75	0.3081288152
76	0.3043934143
77	0.3023654993
78	0.3006859298
79	0.2979705893
80	0.2962814711
81	0.2935975641
82	0.2914605148
83	0.2896698895
84	0.2873323781
85	0.2854550975
86	0.2808202709
87	0.2794968835
88	0.2772029006
89	0.274966687
90	0.2728778444
91	0.2713821479
92	0.269576085
93	0.2686237642
94	0.2652572015
95	0.2628877933
96	0.2597259159
97	0.2579229765
98	0.2566159833
99	0.2550801846
100	0.253693175
101	0.2514461003
102	0.2497964799
103	0.2477053368
104	0.2460137584
105	0.2438678378
106	0.2427543009
107	0.2404050682
108	0.239425492
109	0.2376813365
110	0.2361023164
111	0.2343180165
112	0.2330032594
113	0.2315122231
114	0.2297458707
115	0.2266282272
116	0.2251911759
117	0.2239108624
118	0.2220871696
119	0.2206188811
120	0.2191844866
121	0.2170872209
122	0.2155102193
123	0.2140349608
124	0.2122635224
125	0.2108214679
126	0.2091140703
127	0.2078303884
128	0.2067235686
129	0.2050167373
130	0.2023213811
131	0.2005468687
132	0.1993811959
133	0.1982847576
134	0.1970521895
135	0.1955079916
136	0.1941676089
137	0.1925140634
138	0.1914617041
139	0.1902808169
140	0.1893243259
141	0.1877241367
142	0.1864226613
143	0.1842134595
144	0.1831858798
145	0.182349378
146	0.1811419282
147	0.1798389074
148	0.1787901012
149	0.1768828391
150	0.1760670165
151	0.1748485158
152	0.1738147859
153	0.1730902551
154	0.1719774989
155	0.1705498034
156	0.1690524824
157	0.1682293161
158	0.1674798553
159	0.1661694406
160	0.1651377118
161	0.1639284935
162	0.1629913987
163	0.161842895
164	0.1608632149
165	0.1599602292
166	0.1590098768
167	0.1575997457
168	0.1563572186
169	0.1549832574
170	0.1540501816
171	0.1531579814
172	0.151721665
173	0.1510400699
174	0.1497932673
175	0.1489761414
176	0.1482954011
177	0.1473357518
178	0.1468141835
179	0.145808454
180	0.1451507458
181	0.1439581964
182	0.1428734617
183	0.1418556208
184	0.1411278306
185	0.1403090052
186	0.1393880568
187	0.1384915201
188	0.137827203
189	0.1369243322
190	0.1363320016
191	0.1356778668
192	0.1349122466
193	0.1342598723
194	0.1335554297
195	0.1327771094
196	0.1321899818
197	0.1312751741
198	0.1306106216
199	0.1297753017
200	0.1290667028
201	0.12858097
202	0.1275267659
203	0.1265137123
204	0.1257965565
205	0.1246912174
206	0.124218791
207	0.1237318676
208	0.1228574107
209	0.122385105
210	0.1216120226
211	0.1209831441
212	0.1199255091
213	0.1191438611
214	0.1182310203
215	0.1174676476
216	0.1167808902
217	0.1161568775
218	0.1155295517
219	0.1150891563
220	0.1144624382
221	0.11387025
222	0.1131015347
223	0.1122686354
224	0.1116283507
225	0.1106685429
226	0.1102330379
227	0.1095426751
228	0.1088521742
229	0.1082134247
230	0.1074363909
231	0.1069428906
232	0.1062920573
233	0.1052688273
234	0.1047014114
235	0.1043250459
236	0.1038464962
237	0.1033080773
238	0.1026282034
239	0.1020879934
240	0.1015482167
241	0.1010931774
242	0.1003835521
243	0.100058403
244	0.09973934511
245	0.09906949357
246	0.09839465124
247	0.09798490565
248	0.09739308822
249	0.09687763453
