family,feature_count,median_abs_delta,max_abs_delta,median_direction_free_auc,max_direction_free_auc
sleep:sleep_stage,192,0.14611344537815127,0.3134453781512605,0.5730567226890756,0.6567226890756303
sleep:variability,468,0.06859243697478992,0.3,0.534296218487395,0.65
activity:level,552,0.04737394957983193,0.2815126050420168,0.523686974789916,0.6407563025210085
sleep:change,324,0.061764705882352944,0.2773109243697479,0.5308823529411765,0.6386554621848739
sleep:circadian,84,0.1369747899159664,0.26554621848739496,0.5684873949579832,0.6327731092436975
sleep:level,192,0.1509453781512605,0.2638655462184874,0.5754726890756302,0.6319327731092437
activity:change,276,0.06544117647058824,0.25546218487394956,0.5327205882352941,0.6277310924369748
activity:variability,372,0.05703781512605042,0.25504201680672267,0.5285189075630252,0.6275210084033613
sleep:cardiac,180,0.05850840336134454,0.23151260504201682,0.5292542016806723,0.6157563025210084
